id,ticket_id,category,priority,question,response
1,BK0001,account_info,medium,What types of accounts do you offer,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
2,BK0002,account_info,medium,I need to detail the annual charges for savings accnt on the website,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
3,BK0003,account_info,medium,Tell me how I can what is the minimum balnce for a savings account safely,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
4,BK0004,account_info,medium,Difference between savings and current account safely,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
5,BK0005,account_info,medium,What types of accounts do you offer from home,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
6,BK0006,account_info,medium,What are current account transaction limits,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
7,BK0007,account_info,medium,Interest rates on savings bank account,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
8,BK0008,account_info,medium,What is the minimum balance for a savings account,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
9,BK0009,account_info,medium,Explain current account benefits,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
10,BK0010,account_info,medium,Tell me about your standard bank accounts,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
11,BK0011,account_info,medium,Show me my account type and features,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
12,BK0012,account_info,medium,Savings account minimum balance penalty,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
13,BK0013,account_info,medium,What is the way to what is the minimum balnce for a savings account,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
